,Job Title,Low,Average,High
0,Scientist,"59,157","92,356","144,185"
1,Data Modeler,45.28,63.12,87.97
2,"Sr. Data Scientist - Analytics, Personalized Healthcare (PHC)","103,983","145,970","204,910"
3,Digital Health Data Scientist,"80,229","124,232","192,370"
4,"Scientist 2, QC Viral Vector","79,493","115,578","168,044"
5,MongoDB Data Engineer II,"82,501","127,335","196,532"
6,Data Engineer I,"82,501","127,335","196,532"
7,Data Scientist - Algorithms & Inference,"80,229","124,232","192,370"
8,Digital Marketing & ECommerce Data Analyst,"37,125","64,380","111,642"
9,Machine Learning Research Scientist,"54,510","101,488","188,951"
10,Data Engineer 4 - Contract,"82,501","127,335","196,532"
11,Data Engineer 5 - Contract (Remote),"82,501","127,335","196,532"
12,"Data Scientist (Actuary, FSA or ASA)","80,229","124,232","192,370"
13,Data Scientist - Health Data Analytics,"80,229","124,232","192,370"
14,Medical Lab Scientist,"59,157","92,356","144,185"
15,Staff Data Scientist,"80,229","124,232","192,370"
16,"Risk and Analytics IT, Data Scientist","80,229","124,232","192,370"
17,Data Science Analyst,"80,229","124,232","192,370"
18,Insurance Data Scientist,"80,229","124,232","192,370"
19,Jr. Business Data Analyst,"41,662","58,148","81,158"
20,Data Analyst - Asset Management,"63,359","109,896","190,615"
21,Data Management Specialist,13.46,25.53,48.42
22,Senior Data Scientist Statistics,"103,983","145,970","204,910"
23,Lead Data Scientist,"106,986","151,637","214,923"
24,"Data Scientist, Office of Data Science","80,229","124,232","192,370"
25,Radar Data Analyst,"49,617","77,328","120,517"
26,Associate Scientist,"38,470","54,897","78,336"
27,Pricipal Scientist Molecular and cellular biologist,17.89,26.53,39.33
28,Research Scientist,"54,510","101,488","188,951"
29,Senior Spark Engineer (Data Science),"80,229","124,232","192,370"
30,R&D Data Analysis Scientist,"80,229","124,232","192,370"
31,Data Scientist,"80,229","124,232","192,370"
32,Data Analyst,"49,617","77,328","120,517"
33,Senior Research Scientist - Embedded System Development for DevOps,"59,053","102,441","177,708"
34,E-Commerce Data Analyst,10.84,18.25,30.72
35,Customer Data Scientist,"80,229","124,232","192,370"
36,Healthcare Data Scientist,"80,229","124,232","192,370"
37,Associate Data Analyst,"49,617","77,328","120,517"
38,Data Scientist SR,"80,229","124,232","192,370"
39,Senior Scientist - Neuroscience,"79,493","115,578","168,044"
40,Financial Data Analyst,"49,617","77,328","120,517"
41,Data Analytics Manager,"81,076","119,733","176,822"
42,Senior Data Scientist,"103,983","145,970","204,910"
43,R&D Sr Data Scientist,"103,983","145,970","204,910"
44,Sr. Data Scientist,"103,983","145,970","204,910"
45,Analytics Manager,"81,076","119,733","176,822"
46,"Sr. Scientist, Quantitative Translational Sciences","105,451","163,414","253,236"
47,Sr. Data Scientist II,"103,983","145,970","204,910"
48,Project Scientist,"59,157","92,356","144,185"
49,Data Scientist - Quantitative,"80,229","124,232","192,370"
50,Clinical Data Scientist,"80,229","124,232","192,370"
51,Staff Data Scientist - Technology,"80,229","124,232","192,370"
52,Ag Data Scientist,"80,229","124,232","192,370"
53,Sr. Scientist II,"79,493","115,578","168,044"
54,Senior Data Engineer,"82,501","127,335","196,532"
55,Data Scientist in Artificial Intelligence Early Career,"80,229","124,232","192,370"
56,BI & Platform Analytics Manager,"57,763","98,007","166,289"
57,Data Engineer,"82,501","127,335","196,532"
58,Analytics Consultant,"72,811","111,693","171,338"
59,Data Scientist II,"80,229","124,232","192,370"
60,Principal Scientist - Immunologist,"106,524","152,368","217,940"
61,Senior Risk Data Scientist,"103,983","145,970","204,910"
62,Senior Scientist (Neuroscience),"79,493","115,578","168,044"
63,"Scientist, Bacteriology","59,157","92,356","144,185"
64,Scientist - Analytical Services,"59,157","92,356","144,185"
65,System and Data Analyst,"52,925","83,303","131,117"
66,Clinical Data Analyst,"47,964","77,353","124,750"
67,"Associate Director, Platform and DevOps- Data Engineering and Aritifical Intelligence","84,386","124,453","183,545"
68,Staff BI and Data Engineer,"69,390","100,953","146,874"
69,Lead Data Engineer,"82,501","127,335","196,532"
70,"Sr. Data Scientist, Cyber-Security LT Contract","103,983","145,970","204,910"
71,Senior Research Statistician- Data Scientist,"103,983","145,970","204,910"
72,Survey Data Analyst,"49,617","77,328","120,517"
73,Data Engineer I - Azure,"82,501","127,335","196,532"
